State	Party	Votes	Percentage 
Gombe	CPC	459898	59.73%
Gombe	PDP	290347	37.71%
Gombe	ANPP	5693	0.74%
Gombe	ACN	3420	0.44%
Gombe	BNPP	1764	0.23%
Gombe	PDC	1423	0.18%
Gombe	FRESH	983	0.13%
Gombe	PPP	926	0.12%
Gombe	PMP	924	0.12%
Gombe	NMDP	720	0.09%
Gombe	NCP	677	0.09%
Gombe	NTP	589	0.08%
Gombe	APS	541	0.07%
Gombe	ADC	470	0.06%
Gombe	ARP	428	0.06%
Gombe	HDP	328	0.04%
Gombe	MPPP	315	0.04%
Gombe	SDMP	199	0.03%
Gombe	LDPN	187	0.02%
Gombe	UNPD	187	0.02%
Taraba	PDP	451354	61.07%
Taraba	CPC	257986	34.91%
Taraba	ACN	17791	2.41%
Taraba	PDC	2163	0.29%
Taraba	PMP	1622	0.22%
Taraba	BNPP	1382	0.19%
Taraba	ANPP	1203	0.16%
Taraba	PPP	800	0.11%
Taraba	FRESH	647	0.09%
Taraba	ADC	622	0.08%
Taraba	NCP	567	0.08%
Taraba	NTP	498	0.07%
Taraba	UNPD	445	0.06%
Taraba	APS	420	0.06%
Taraba	NMDP	392	0.05%
Taraba	MPPP	286	0.04%
Taraba	HDP	274	0.04%
Taraba	ARP	265	0.04%
Taraba	SDMP	182	0.02%
Taraba	LDPN	166	0.02%
Yobe	CPC	337537	54.26%
Yobe	ANPP	143179	23.01%
Yobe	PDP	117128	18.83%
Yobe	ACN	6069	0.98%
Yobe	ADC	3230	0.52%
Yobe	APS	2263	0.36%
Yobe	PDC	1885	0.30%
Yobe	BNPP	1870	0.30%
Yobe	PPP	1395	0.22%
Yobe	PMP	1384	0.22%
Yobe	NMDP	1182	0.19%
Yobe	FRESH	1061	0.17%
Yobe	NCP	702	0.11%
Yobe	NTP	669	0.11%
Yobe	UNPD	597	0.10%
Yobe	ARP	548	0.09%
Yobe	MPPP	452	0.07%
Yobe	HDP	426	0.07%
Yobe	SDMP	320	0.05%
Yobe	LDPN	218	0.04%
Borno	CPC	909763	77.25%
Borno	PDP	207075	17.58%
Borno	ANPP	37279	3.17%
Borno	ACN	7533	0.64%
Borno	BNPP	2677	0.23%
Borno	PDC	1803	0.15%
Borno	FRESH	1536	0.13%
Borno	ADC	1435	0.12%
Borno	NMDP	1225	0.10%
Borno	APS	1196	0.10%
Borno	PMP	1189	0.10%
Borno	PPP	1126	0.10%
Borno	NCP	944	0.08%
Borno	NTP	576	0.05%
Borno	HDP	543	0.05%
Borno	ARP	513	0.04%
Borno	MPPP	377	0.03%
Borno	UNPD	330	0.03%
Borno	LDPN	292	0.02%
Borno	SDMP	234	0.02%
Kebbi	CPC	501453	54.26%
Kebbi	PDP	369198	39.95%
Kebbi	ACN	26171	2.83%
